Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		10
    95		 | 		18
    9		 | 		26
    57		 | 		30
    66		 | 		38
    44		 | 		42
    8		 | 		52
    38		 | 		57
    26		 | 		66
    35		 | 		71
    3		 | 		77
    14		 | 		81
    46		 | 		88
    42		 | 		93
    51		 | 		100
    25		 | 		106
    58		 | 		110
    59		 | 		114
    62		 | 		118
    40		 | 		127
    25		 | 		132
    55		 | 		135
    81		 | 		141
    11		 | 		146
    74		 | 		150
    48		 | 		154
    64		 | 		162
    97		 | 		167
    39		 | 		171
    36		 | 		176
    60		 | 		183
    43		 | 		188
    82		 | 		196
    68		 | 		201
    99		 | 		206
    48		 | 		211
    63		 | 		215
    58		 | 		221
    37		 | 		226
    89		 | 		232
    93		 | 		237
    39		 | 		242
    54		 | 		247
    90		 | 		252
    32		 | 		257
    5		 | 		262
    67		 | 		266
    41		 | 		270
    15		 | 		276
    28		 | 		280
    81		 | 		286
    91		 | 		291
    34		 | 		298
    61		 | 		302
    54		 | 		307
    60		 | 		312
    60		 | 		317
    17		 | 		322
    56		 | 		327
    98		 | 		333
    4		 | 		338
    67		 | 		342
    92		 | 		347
    86		 | 		352
    35		 | 		358
    42		 | 		362
    33		 | 		366
    49		 | 		372
    99		 | 		376
    69		 | 		382
    37		 | 		387
    43		 | 		392
    59		 | 		397
    43		 | 		402
    33		 | 		407
    90		 | 		411
    47		 | 		417
    99		 | 		421
    30		 | 		428
    13		 | 		433
    78		 | 		438
    62		 | 		443
    3		 | 		447
    63		 | 		453
    74		 | 		458
    56		 | 		463
    22		 | 		467
    33		 | 		473
    24		 | 		477
    29		 | 		482
    82		 | 		487
    28		 | 		491
    96		 | 		495
    73		 | 		500
    13		 | 		505
    82		 | 		509
    14		 | 		514
    97		 | 		518
    30		 | 		523
    65		 | 		528
