Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		4
    95		 | 		14
    9		 | 		19
    57		 | 		23
    66		 | 		27
    44		 | 		31
    8		 | 		38
    38		 | 		42
    26		 | 		51
    35		 | 		55
    3		 | 		64
    14		 | 		68
    46		 | 		72
    42		 | 		79
    51		 | 		84
    25		 | 		88
    58		 | 		94
    59		 | 		98
    62		 | 		102
    40		 | 		107
    25		 | 		111
    55		 | 		118
    81		 | 		122
    11		 | 		126
    74		 | 		137
    48		 | 		143
    64		 | 		147
    97		 | 		157
    39		 | 		161
    36		 | 		170
    60		 | 		174
    43		 | 		180
    82		 | 		184
    68		 | 		188
    99		 | 		194
    48		 | 		200
    63		 | 		205
    58		 | 		209
    37		 | 		213
    89		 | 		217
    93		 | 		223
    39		 | 		226
    54		 | 		233
    90		 | 		238
    32		 | 		246
    5		 | 		250
    67		 | 		255
    41		 | 		260
    15		 | 		265
    28		 | 		269
    81		 | 		274
    91		 | 		278
    34		 | 		283
    61		 | 		288
    54		 | 		291
    60		 | 		300
    60		 | 		304
    17		 | 		309
    56		 | 		314
    98		 | 		318
    4		 | 		324
    67		 | 		327
    92		 | 		340
    86		 | 		345
    35		 | 		352
    42		 | 		355
    33		 | 		365
    49		 | 		370
    99		 | 		378
    69		 | 		382
    37		 | 		391
    43		 | 		394
    59		 | 		410
    43		 | 		413
    33		 | 		418
    90		 | 		426
    47		 | 		430
    99		 | 		434
    30		 | 		439
    13		 | 		444
    78		 | 		448
    62		 | 		453
    3		 | 		456
    63		 | 		463
    74		 | 		466
    56		 | 		474
    22		 | 		479
    33		 | 		482
    24		 | 		492
    29		 | 		498
    82		 | 		505
    28		 | 		509
    96		 | 		518
    73		 | 		523
    13		 | 		527
    82		 | 		532
    14		 | 		536
    97		 | 		543
    30		 | 		547
    65		 | 		555
