Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		49
    95		 | 		273
    9		 | 		570
    57		 | 		847
    66		 | 		1131
    44		 | 		1432
    8		 | 		1754
    38		 | 		2094
    26		 | 		2373
    35		 | 		2713
    3		 | 		3013
    14		 | 		3319
    46		 | 		3669
    42		 | 		3988
    51		 | 		4311
    25		 | 		5605
    58		 | 		5884
    59		 | 		6172
    62		 | 		6465
    40		 | 		6751
    25		 | 		7025
    55		 | 		7302
    81		 | 		7587
    11		 | 		7861
    74		 | 		8134
    48		 | 		8453
    64		 | 		8735
    97		 | 		9009
    39		 | 		9282
    36		 | 		9573
    60		 | 		9915
    43		 | 		10957
    82		 | 		11267
    68		 | 		11546
    99		 | 		11914
    48		 | 		12195
    63		 | 		12668
    58		 | 		12946
    37		 | 		13220
    89		 | 		13526
    93		 | 		13888
    39		 | 		14160
    54		 | 		14433
    90		 | 		15876
    32		 | 		16163
    5		 | 		16438
    67		 | 		16754
    41		 | 		17181
    15		 | 		17506
    28		 | 		17802
    81		 | 		18077
    91		 | 		18362
    34		 | 		18663
    61		 | 		18928
    54		 | 		19202
    60		 | 		19502
    60		 | 		19781
    17		 | 		20048
    56		 | 		20320
    98		 | 		20616
    4		 | 		20882
    67		 | 		21155
    92		 | 		21428
    86		 | 		21766
    35		 | 		22033
    42		 | 		22306
    33		 | 		22612
    49		 | 		22886
    99		 | 		23160
    69		 | 		23433
    37		 | 		23784
    43		 | 		24099
    59		 | 		24403
    43		 | 		25915
    33		 | 		26226
    90		 | 		26527
    47		 | 		26822
    99		 | 		27097
    30		 | 		27371
    13		 | 		27700
    78		 | 		27994
    62		 | 		28258
    3		 | 		28547
    63		 | 		28826
    74		 | 		29090
    56		 | 		29366
    22		 | 		29644
    33		 | 		29920
    24		 | 		30194
    29		 | 		30479
    82		 | 		30824
    28		 | 		31112
    96		 | 		31371
    73		 | 		31675
    13		 | 		31949
    82		 | 		32213
    14		 | 		32509
    97		 | 		32788
    30		 | 		33062
    65		 | 		33359
Le demoró: 33708 microsegundos en insertar 100valores

Le demoró: 34228 microsegundos en insertar 100 valores

