Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    99766		 | 		39
    6027		 | 		92
    84989		 | 		139
    4354		 | 		186
    4175		 | 		233
    40738		 | 		280
    51234		 | 		368
    63691		 | 		427
    81171		 | 		473
    38242		 | 		519
    14544		 | 		566
    54128		 | 		611
    84221		 | 		657
    58222		 | 		742
    40208		 | 		826
    28094		 | 		878
    48583		 | 		931
    88731		 | 		981
    61316		 | 		1118
    99183		 | 		1204
    45798		 | 		1269
    24600		 | 		1339
    69237		 | 		1399
    99962		 | 		1459
    62766		 | 		1520
    72390		 | 		1579
    63583		 | 		1635
    39117		 | 		1692
    19165		 | 		1749
    7079		 | 		2118
    58964		 | 		2180
    18931		 | 		2233
    29457		 | 		2286
    43952		 | 		2354
    39636		 | 		2398
    49983		 | 		2437
    84689		 | 		2475
    7221		 | 		2521
    13673		 | 		2560
    82211		 | 		2602
    45463		 | 		2643
    28216		 | 		2682
    52690		 | 		2720
    46035		 | 		2758
    86438		 | 		2795
    9250		 | 		2833
    74128		 | 		2871
    51372		 | 		2908
    97980		 | 		2952
    51795		 | 		2991
    50554		 | 		3029
    43777		 | 		3066
    92746		 | 		3104
    19790		 | 		3141
    60090		 | 		3179
    55511		 | 		3217
    92179		 | 		3255
    23672		 | 		3316
    94628		 | 		3379
    11344		 | 		3419
    47103		 | 		3457
    69943		 | 		3495
    46626		 | 		3533
    76559		 | 		3570
    30246		 | 		3608
    86261		 | 		3646
    42894		 | 		3683
    31287		 | 		3722
    93482		 | 		3759
    56566		 | 		3797
    13497		 | 		3835
    55296		 | 		3873
    84782		 | 		3910
    66187		 | 		3948
    17682		 | 		3985
    87571		 | 		4023
    75436		 | 		4060
    91809		 | 		4098
    38942		 | 		4150
    89767		 | 		4207
    59955		 | 		4266
    89495		 | 		4335
    49895		 | 		4396
    52700		 | 		4473
    9285		 | 		4523
    9984		 | 		4570
    8210		 | 		4609
    17815		 | 		4649
    33655		 | 		4688
    19189		 | 		4740
    45510		 | 		4779
    80757		 | 		4817
    89131		 | 		4855
    8487		 | 		4893
    73668		 | 		4953
    35729		 | 		5005
    94748		 | 		5054
    16561		 | 		5109
    67015		 | 		5150
    4581		 | 		5196
    89478		 | 		5236
    80511		 | 		5288
    76228		 | 		5343
    74259		 | 		5382
    63049		 | 		5420
    93909		 | 		5458
    61829		 | 		5496
    54836		 | 		5533
    2069		 | 		5571
    770		 | 		5608
    44602		 | 		5646
    78375		 | 		5683
    6617		 | 		5720
    94496		 | 		5758
    31074		 | 		5796
    32253		 | 		5833
    20831		 | 		5870
    39283		 | 		5908
    66419		 | 		5946
    54486		 | 		5984
    74824		 | 		6023
    11929		 | 		6060
    51594		 | 		6097
    80306		 | 		6135
    20415		 | 		6173
    41613		 | 		6210
    16034		 | 		6247
    31514		 | 		6287
    58173		 | 		6332
    83048		 | 		6370
    52446		 | 		6408
    47651		 | 		6445
    79911		 | 		6483
    45025		 | 		6520
    38261		 | 		6557
    42959		 | 		6596
    55285		 | 		6633
    16442		 | 		6671
    14147		 | 		6708
    73705		 | 		6746
    33563		 | 		6784
    75100		 | 		6821
    52079		 | 		6858
    40179		 | 		6896
    85948		 | 		6934
    99504		 | 		6971
    72431		 | 		7008
    6778		 | 		7046
    55139		 | 		7083
    55202		 | 		7120
    61263		 | 		7158
    29962		 | 		7195
    67130		 | 		7233
    29209		 | 		7270
    10267		 | 		7341
    3896		 | 		7406
    70821		 | 		7448
    26301		 | 		7486
    51762		 | 		7524
    45346		 | 		7561
    9348		 | 		7600
    20559		 | 		7637
    9348		 | 		7674
    5610		 | 		7712
    65584		 | 		7749
    47608		 | 		7787
    48569		 | 		7824
    37220		 | 		7862
    64049		 | 		7899
    79067		 | 		7938
    10925		 | 		7975
    13964		 | 		8012
    54166		 | 		8049
    79355		 | 		8086
    54142		 | 		8124
    40113		 | 		8167
    78859		 | 		8205
    42925		 | 		8243
    46891		 | 		8280
    33997		 | 		9741
    14478		 | 		9785
    24505		 | 		9823
    63958		 | 		9860
    81607		 | 		9898
    53713		 | 		9937
    90576		 | 		9974
    1854		 | 		10012
    24534		 | 		10049
    16876		 | 		10088
    69967		 | 		10126
    69879		 | 		10164
    42576		 | 		10202
    6878		 | 		10271
    79226		 | 		10338
    48185		 | 		10400
    72461		 | 		10442
    43185		 | 		10481
    13105		 | 		10519
    26032		 | 		10556
    23586		 | 		10597
    92171		 | 		10637
    36956		 | 		10675
    37549		 | 		10738
    46337		 | 		10782
    16311		 | 		10838
    8042		 | 		10889
    86449		 | 		10928
    95169		 | 		10966
    67318		 | 		11004
