Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    1804		 | 		42
    4047		 | 		294
    342		 | 		611
    3074		 | 		901
    8114		 | 		1220
    5910		 | 		1522
    5260		 | 		1848
    5153		 | 		2154
    7557		 | 		2435
    902		 | 		2802
    5731		 | 		3158
    2789		 | 		3460
    9587		 | 		3778
    6331		 | 		4173
    1225		 | 		4493
    8695		 | 		5850
    5027		 | 		6221
    935		 | 		6513
    7258		 | 		6833
    2363		 | 		7119
    2359		 | 		7401
    4137		 | 		7685
    4058		 | 		7982
    290		 | 		8246
    8244		 | 		8549
    6216		 | 		8866
    7718		 | 		9158
    1117		 | 		9444
    4130		 | 		9769
    8587		 | 		10093
    6041		 | 		10782
    5933		 | 		10846
    8985		 | 		11171
    2734		 | 		11468
    5359		 | 		11795
    7098		 | 		12070
    8643		 | 		12367
    6970		 | 		12638
    8602		 | 		12930
    2551		 | 		13228
    4224		 | 		13521
    4333		 | 		13814
    5339		 | 		14084
    3810		 | 		14361
    7015		 | 		14667
    6563		 | 		16319
    2504		 | 		16632
    2041		 | 		17016
    3849		 | 		17365
    6113		 | 		17622
    756		 | 		17899
    2559		 | 		18189
    6601		 | 		18493
    4813		 | 		18815
    2849		 | 		19106
    4844		 | 		19380
    7380		 | 		19685
    6918		 | 		19972
    2312		 | 		20286
    1509		 | 		20565
    5504		 | 		20866
    4704		 | 		21155
    3794		 | 		21442
    4488		 | 		21761
    7437		 | 		22257
    5504		 | 		22747
    7937		 | 		23333
    2431		 | 		23660
    8825		 | 		24008
    6539		 | 		24358
    4981		 | 		25948
    3048		 | 		26310
    7223		 | 		26612
    319		 | 		26948
    3209		 | 		27255
    4237		 | 		27546
    3233		 | 		27839
    2064		 | 		28116
    2629		 | 		28414
    3434		 | 		28697
    4528		 | 		29030
    3384		 | 		29334
    5992		 | 		29620
    1128		 | 		29919
    4549		 | 		30208
    8840		 | 		30504
    2323		 | 		30829
    1928		 | 		31185
    2109		 | 		31485
    986		 | 		31795
    9789		 | 		32065
    7612		 | 		32348
    5689		 | 		32639
    9934		 | 		32947
    8451		 | 		33218
    3125		 | 		33500
    1789		 | 		33857
    6388		 | 		34391
    5555		 | 		34713
    613		 | 		36315
    9278		 | 		36632
    6887		 | 		36932
    13		 | 		37224
    6500		 | 		37610
    3557		 | 		37969
    9573		 | 		38262
    7088		 | 		38563
    6790		 | 		38903
    1637		 | 		39238
    9716		 | 		39583
    223		 | 		39899
    6164		 | 		40213
    3100		 | 		40511
    6214		 | 		40939
    3644		 | 		41271
    4000		 | 		41562
    1406		 | 		41924
    2318		 | 		42261
    5927		 | 		42558
    3514		 | 		42865
    3304		 | 		43234
    2067		 | 		43522
    7478		 | 		43830
    5344		 | 		44112
    2000		 | 		44399
    5928		 | 		45938
    4821		 | 		46241
    3788		 | 		46536
    8667		 | 		46833
    6727		 | 		47110
    753		 | 		47391
    4296		 | 		47672
    3614		 | 		47957
    7117		 | 		48238
    7147		 | 		48519
    7170		 | 		48822
    6689		 | 		49102
    4234		 | 		49376
    311		 | 		49669
    4677		 | 		49982
    302		 | 		50322
    6885		 | 		82408
    7193		 | 		82689
    9753		 | 		83139
    9451		 | 		83413
    836		 | 		83692
    3752		 | 		84008
    7208		 | 		84290
    9505		 | 		84592
    6030		 | 		84869
    7073		 | 		85144
    9160		 | 		85446
    8097		 | 		85720
    4550		 | 		86174
    4504		 | 		86467
    6448		 | 		86743
    6830		 | 		87036
    9324		 | 		87346
    236		 | 		87629
    1848		 | 		87989
    2402		 | 		88284
    7340		 | 		88590
    6144		 | 		88884
    6015		 | 		89174
    4456		 | 		89457
    9642		 | 		89744
    9537		 | 		90053
    7496		 | 		90363
    228		 | 		90680
    6199		 | 		92235
    2173		 | 		92577
    529		 | 		92894
    3084		 | 		93199
    9365		 | 		93509
    281		 | 		93838
    2534		 | 		94186
    6552		 | 		94495
    4032		 | 		94779
    6093		 | 		95117
    6056		 | 		95416
    61		 | 		95710
    3165		 | 		96021
    5216		 | 		96297
    4509		 | 		96601
    7715		 | 		96898
    6071		 | 		97184
    957		 | 		97452
    896		 | 		97743
    1746		 | 		98078
    7544		 | 		98365
    2743		 | 		98630
    4147		 | 		98968
    4883		 | 		99265
    8886		 | 		99603
    6514		 | 		99857
    5690		 | 		100149
    4880		 | 		100459
    6050		 | 		100772
    3185		 | 		102322
    5107		 | 		102669
    2248		 | 		102963
    5357		 | 		103232
    5635		 | 		103505
    1683		 | 		103824
    1073		 | 		104307
    5915		 | 		104579
    568		 | 		104909
    7624		 | 		105193
    6298		 | 		105462
    6660		 | 		105736
    3680		 | 		106054
    6358		 | 		106323
    9825		 | 		106598
    5247		 | 		106894
    867		 | 		107255
    3891		 | 		107698
    1317		 | 		107984
    8175		 | 		108296
    4786		 | 		108573
    3062		 | 		108874
    5718		 | 		109158
    7528		 | 		109434
    7208		 | 		109710
    600		 | 		109999
    2766		 | 		110272
    73		 | 		110565
    6289		 | 		112066
    7645		 | 		112370
    6122		 | 		112666
    5825		 | 		112966
    2751		 | 		113286
    4722		 | 		113565
    7534		 | 		113915
    4737		 | 		114264
    2756		 | 		114581
    8606		 | 		115040
    7003		 | 		115474
    3324		 | 		115747
    6230		 | 		116068
    3300		 | 		116351
    6335		 | 		116649
    6261		 | 		116945
    6009		 | 		117226
    6159		 | 		117503
    7859		 | 		117799
    3227		 | 		118098
    6401		 | 		118372
    9175		 | 		118717
    1401		 | 		119020
    1186		 | 		119297
    8588		 | 		119576
    7118		 | 		119864
    5066		 | 		120147
    2147		 | 		120437
    4069		 | 		120708
    4183		 | 		122387
    2220		 | 		122720
    6709		 | 		123021
    1827		 | 		123294
    4693		 | 		123560
    2534		 | 		123931
    929		 | 		125401
    5766		 | 		125940
    67		 | 		126226
    2017		 | 		126522
    8522		 | 		126849
    5024		 | 		127124
    9019		 | 		127403
    8197		 | 		127679
    7605		 | 		127989
    2318		 | 		128305
    4531		 | 		128604
    3865		 | 		128915
    4678		 | 		129194
    7042		 | 		129470
    8075		 | 		129746
    7905		 | 		130087
    3442		 | 		130394
    3601		 | 		130677
    5657		 | 		131997
    980		 | 		132270
    2188		 | 		132559
    2775		 | 		132871
    2397		 | 		133154
    687		 | 		133416
    3195		 | 		133690
    6579		 | 		134195
    2906		 | 		135323
    9904		 | 		135605
    4757		 | 		135975
    3950		 | 		136248
    8789		 | 		136524
    2037		 | 		136835
    9716		 | 		137098
    5207		 | 		137371
    4053		 | 		137647
    4589		 | 		137944
    230		 | 		138216
    3071		 | 		138491
    2785		 | 		138768
    7835		 | 		139060
    1740		 | 		139336
    7315		 | 		139612
    8051		 | 		139950
    6417		 | 		140362
    4356		 | 		140673
    6126		 | 		142194
    673		 | 		142547
    4150		 | 		142826
    9726		 | 		143095
    2682		 | 		143377
    5129		 | 		143665
    8266		 | 		143947
    1808		 | 		144217
    3877		 | 		144492
    5304		 | 		144767
    5002		 | 		145053
    455		 | 		145323
    8209		 | 		145596
    1257		 | 		145895
    5211		 | 		146172
    8510		 | 		146442
    45		 | 		146725
    7247		 | 		147066
    4577		 | 		147341
    5251		 | 		147617
    1299		 | 		147920
    9165		 | 		148204
    5481		 | 		148480
    721		 | 		148794
    1949		 | 		149082
    9667		 | 		149357
    8812		 | 		149652
    5616		 | 		149938
    7717		 | 		150249
    1580		 | 		150602
    6323		 | 		152358
    194		 | 		153104
    8605		 | 		153397
    472		 | 		153717
    6272		 | 		154021
    1286		 | 		154300
    1952		 | 		154579
    4537		 | 		154892
    3093		 | 		155179
    5828		 | 		155444
    9840		 | 		155740
    8094		 | 		156047
    6282		 | 		156331
    4400		 | 		156607
    9351		 | 		156953
    7844		 | 		157252
    9261		 | 		157529
    5747		 | 		157798
    5090		 | 		158085
    3838		 | 		158354
    998		 | 		158626
    2740		 | 		158911
    3002		 | 		159179
    2830		 | 		159451
    9812		 | 		159725
    1303		 | 		160018
    2496		 | 		160298
    4975		 | 		160590
    6918		 | 		162052
    212		 | 		162408
    6555		 | 		162724
    3240		 | 		163016
    6758		 | 		163297
    5159		 | 		163562
    64		 | 		163854
    3029		 | 		164197
    6444		 | 		164494
    2015		 | 		164769
    3917		 | 		165680
    5888		 | 		166289
    4195		 | 		166650
    108		 | 		166967
