Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    17		 | 		36
    555		 | 		78
    320		 | 		115
    3		 | 		153
    901		 | 		190
    89		 | 		227
    397		 | 		272
    594		 | 		316
    744		 | 		354
    18		 | 		447
    875		 | 		530
    431		 | 		608
    553		 | 		652
    102		 | 		690
    847		 | 		728
    106		 | 		766
    420		 | 		804
    132		 | 		843
    351		 | 		881
    390		 | 		919
    62		 | 		956
    22		 | 		994
    347		 | 		1031
    55		 | 		1078
    454		 | 		1130
    891		 | 		1182
    944		 | 		1253
    86		 | 		1326
    77		 | 		1378
    654		 | 		1420
    467		 | 		1470
    93		 | 		1535
    561		 | 		1595
    138		 | 		1647
    447		 | 		1710
    813		 | 		1778
    226		 | 		1836
    844		 | 		1894
    406		 | 		1962
    322		 | 		2018
    213		 | 		2082
    632		 | 		2136
    752		 | 		2188
    765		 | 		2238
    734		 | 		2315
    950		 | 		2375
    222		 | 		2417
    505		 | 		2472
    82		 | 		2541
    572		 | 		2590
    895		 | 		2629
    495		 | 		2667
    946		 | 		2704
    241		 | 		2742
    902		 | 		2779
    751		 | 		2817
    483		 | 		2854
    845		 | 		2891
    837		 | 		2929
    912		 | 		2967
    850		 | 		3005
    655		 | 		3043
    356		 | 		3080
    410		 | 		3118
    144		 | 		3155
    803		 | 		3192
    574		 | 		3229
    722		 | 		3271
    646		 | 		3311
    332		 | 		3349
    43		 | 		3407
    858		 | 		3457
    963		 | 		3505
    794		 | 		3554
    974		 | 		3602
    696		 | 		3651
    95		 | 		3699
    196		 | 		3750
    201		 | 		3799
    528		 | 		3848
    119		 | 		3897
    447		 | 		3947
    23		 | 		3997
    416		 | 		4046
    39		 | 		4109
    924		 | 		4186
    167		 | 		4259
    521		 | 		4349
    768		 | 		4422
    355		 | 		4498
    784		 | 		4557
    969		 | 		4607
    361		 | 		4657
    140		 | 		4707
    731		 | 		4755
    504		 | 		4804
    942		 | 		4853
    304		 | 		4902
    225		 | 		4952
    587		 | 		5000
    635		 | 		5039
    619		 | 		5077
    444		 | 		5116
    598		 | 		5155
    764		 | 		5193
    417		 | 		5231
    645		 | 		5273
    859		 | 		5315
    964		 | 		5352
    197		 | 		5390
    386		 | 		5428
    83		 | 		5465
    643		 | 		5505
    408		 | 		5545
    498		 | 		5582
    681		 | 		5619
    683		 | 		5657
    16		 | 		5704
    554		 | 		5748
    802		 | 		5799
    370		 | 		5841
    337		 | 		5880
    771		 | 		5917
    730		 | 		5956
    476		 | 		5993
    501		 | 		6031
    586		 | 		6068
    417		 | 		6105
    156		 | 		6143
    810		 | 		6181
    355		 | 		6218
    143		 | 		6255
    429		 | 		6320
    798		 | 		6384
    740		 | 		6426
    192		 | 		6464
    567		 | 		6504
    736		 | 		6544
    402		 | 		6582
    882		 | 		6620
    933		 | 		6657
    788		 | 		6694
    964		 | 		6731
    575		 | 		6768
    547		 | 		6805
    814		 | 		6842
    608		 | 		6879
    230		 | 		6916
    829		 | 		6953
    513		 | 		6990
    31		 | 		7027
    551		 | 		7064
    201		 | 		7101
    153		 | 		7138
    632		 | 		7175
    677		 | 		7212
    5		 | 		7250
    217		 | 		8604
    445		 | 		8650
    161		 | 		8688
    379		 | 		8726
    800		 | 		8764
    303		 | 		8802
    159		 | 		8839
    949		 | 		8876
    394		 | 		8913
    702		 | 		8951
    867		 | 		8989
    129		 | 		9026
    104		 | 		9063
    749		 | 		9100
    61		 | 		9138
    891		 | 		9175
    64		 | 		9220
    988		 | 		9259
    437		 | 		9312
    229		 | 		9352
    947		 | 		9392
    18		 | 		9431
    58		 | 		9470
    459		 | 		9510
    49		 | 		9550
    960		 | 		9588
    659		 | 		9627
