

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    46		 | 		5
    61		 | 		70
    19		 | 		147
    17		 | 		217
    97		 | 		278
    19		 | 		359
    93		 | 		421
    11		 | 		483
    83		 | 		563
    11		 | 		645
    8		 | 		710
    21		 | 		789
    34		 | 		851
    26		 | 		910
    29		 | 		969
    73		 | 		1029
    94		 | 		1111
    29		 | 		1193
    95		 | 		1259
    54		 | 		1322
    65		 | 		1383
    46		 | 		1468
    49		 | 		1543
    91		 | 		1612
    72		 | 		1699
    61		 | 		1781
    35		 | 		1849
    78		 | 		1910
    55		 | 		1992
    60		 | 		2062
    27		 | 		2150
    52		 | 		2235
    20		 | 		2333
    45		 | 		2418
    68		 | 		2482
    69		 | 		2546
    64		 | 		2611
    60		 | 		2685
    79		 | 		2774
    98		 | 		2843
    70		 | 		2925
    38		 | 		2987
    18		 | 		3071
    55		 | 		3149
    64		 | 		3234
    98		 | 		3315
    27		 | 		3398
    57		 | 		3466
    27		 | 		3549
    73		 | 		3717
    62		 | 		3783
    91		 | 		3873
    71		 | 		3954
    63		 | 		4015
    34		 | 		4103
    94		 | 		4185
    23		 | 		4264
    68		 | 		4350
    72		 | 		4435
    77		 | 		4514
    27		 | 		4603
    98		 | 		4689
    81		 | 		4754
    98		 | 		4845
    95		 | 		5031
    48		 | 		5106
    66		 | 		5172
    58		 | 		5243
    8		 | 		5337
    97		 | 		5407
    7		 | 		5497
    29		 | 		5582
    34		 | 		5663
    24		 | 		5725
    84		 | 		5807
    49		 | 		5887
    73		 | 		5977
    62		 | 		6049
    58		 | 		6118
    51		 | 		6182
    87		 | 		6267
    19		 | 		6352
    94		 | 		6439
    9		 | 		6515
    81		 | 		6587
    27		 | 		6681
    2		 | 		6770
    56		 | 		6837
    94		 | 		6923
    25		 | 		6990
    84		 | 		7077
    72		 | 		7159
    75		 | 		7249
    64		 | 		7332
    69		 | 		7412
    69		 | 		7495
    64		 | 		7586
    87		 | 		7665
    78		 | 		7750
    71		 | 		7833
Le demoró: 7894 microsegundos en borrar 100 valores

