

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    89504		 | 		34
    96641		 | 		175
    60519		 | 		275
    17926		 | 		360
    40061		 | 		441
    87879		 | 		509
    96456		 | 		587
    5273		 | 		658
    13715		 | 		731
    90406		 | 		805
    67646		 | 		879
    96224		 | 		954
    78064		 | 		1046
    11784		 | 		1135
    97182		 | 		1209
    98923		 | 		1304
    25177		 | 		1378
    77289		 | 		1466
    86165		 | 		1535
    79266		 | 		1623
    40185		 | 		1718
    88711		 | 		1817
    41074		 | 		1890
    83590		 | 		1956
    67836		 | 		2138
    54285		 | 		2230
    84176		 | 		2318
    76634		 | 		2391
    80940		 | 		2460
    36740		 | 		2530
    36518		 | 		2599
    70443		 | 		2686
    33380		 | 		2786
    13388		 | 		2881
    4721		 | 		2972
    89793		 | 		3058
    1267		 | 		3126
    17528		 | 		3196
    95065		 | 		3284
    31333		 | 		3371
    24285		 | 		3439
    79062		 | 		3506
    27556		 | 		3591
    2348		 | 		3673
    90845		 | 		3741
    41090		 | 		3810
    17623		 | 		3877
    16021		 | 		3945
    34730		 | 		4036
    3787		 | 		4128
    11638		 | 		4196
    74915		 | 		4274
    92497		 | 		4345
    52712		 | 		4431
    74856		 | 		4499
    76684		 | 		4566
    23348		 | 		4659
    59031		 | 		4770
    69670		 | 		4853
    4288		 | 		4944
    12123		 | 		5035
    6187		 | 		5109
    91082		 | 		5197
    45502		 | 		5269
    19575		 | 		5357
    12154		 | 		5427
    35294		 | 		5499
    37193		 | 		5610
    29681		 | 		5696
    46710		 | 		5785
    68525		 | 		5893
    70317		 | 		5996
    25771		 | 		6074
    12433		 | 		6161
    72665		 | 		6254
    16615		 | 		6359
    53522		 | 		6480
    6639		 | 		6581
    32635		 | 		6686
    88251		 | 		6764
    10425		 | 		6851
    60625		 | 		6935
    79517		 | 		7022
    19274		 | 		7101
    13336		 | 		7177
    70725		 | 		7268
    12309		 | 		7372
    53035		 | 		7446
    46107		 | 		7525
    81978		 | 		7624
    73674		 | 		7728
    58229		 | 		7795
    4517		 | 		7891
    81108		 | 		8001
    20083		 | 		8113
    40443		 | 		8199
    93261		 | 		8282
    71728		 | 		8368
    77635		 | 		8487
    39294		 | 		8602
    18438		 | 		8687
    46159		 | 		8772
    9610		 | 		8857
    44208		 | 		8949
    58591		 | 		9069
    82274		 | 		9183
    60823		 | 		9259
    12112		 | 		9350
    5264		 | 		9435
    9809		 | 		9518
    16715		 | 		9598
    15689		 | 		9710
    70433		 | 		9788
    96231		 | 		9877
    34962		 | 		9945
    120		 | 		10051
    83307		 | 		10153
    47270		 | 		10275
    53155		 | 		10358
    29414		 | 		10446
    45600		 | 		10554
    43180		 | 		10634
    87642		 | 		10715
    50116		 | 		10788
    24287		 | 		10863
    24076		 | 		10970
    90558		 | 		11049
    17548		 | 		11150
    95804		 | 		11227
    68192		 | 		11334
    56841		 | 		11417
    14241		 | 		11536
    14350		 | 		11675
    66450		 | 		11758
    74800		 | 		11872
    89293		 | 		11947
    65076		 | 		12283
    35622		 | 		12420
    1404		 | 		12536
    70339		 | 		12613
    61783		 | 		12704
    34470		 | 		12790
    86027		 | 		12874
    48567		 | 		12965
    30701		 | 		13036
    37340		 | 		13112
    48687		 | 		13218
    14007		 | 		13323
    84610		 | 		13424
    18193		 | 		13489
    59772		 | 		13573
    46561		 | 		13635
    61372		 | 		13703
    63766		 | 		13815
    96676		 | 		13892
    85659		 | 		13971
    87841		 | 		14051
    87233		 | 		14133
    19558		 | 		14209
    83644		 | 		14290
    71776		 | 		14396
    76398		 | 		14483
    14236		 | 		14562
    2477		 | 		14641
    59199		 | 		14739
    89036		 | 		14812
    91769		 | 		14899
    40626		 | 		14969
    41009		 | 		15043
    93173		 | 		15127
    27317		 | 		15205
    2791		 | 		15310
    27642		 | 		15388
    29695		 | 		15464
    51358		 | 		15559
    74694		 | 		15676
    67035		 | 		15778
    16396		 | 		15885
    5053		 | 		15989
    67996		 | 		16088
    34588		 | 		16163
    81176		 | 		16273
    14556		 | 		16370
    12311		 | 		16478
    44941		 | 		16595
    11231		 | 		16678
    97969		 | 		16775
    32782		 | 		17022
    14815		 | 		17156
    33878		 | 		17265
    32777		 | 		17388
    2942		 | 		17480
    10275		 | 		17574
    47013		 | 		17664
    5418		 | 		17780
    85826		 | 		17864
    52400		 | 		17978
    97187		 | 		18069
    26451		 | 		18187
    93408		 | 		18272
    90359		 | 		18365
    53767		 | 		18455
    12551		 | 		18572
    34352		 | 		18659
    83462		 | 		18772
    80260		 | 		18877
    25398		 | 		18961
    66848		 | 		19050
    96655		 | 		19158
    46802		 | 		19267
    34843		 | 		19355
    47594		 | 		19458
    27977		 | 		19561
    65750		 | 		19673
    59904		 | 		19802
    72918		 | 		19896
    93332		 | 		20003
    74225		 | 		20099
    5699		 | 		20201
    8146		 | 		20269
    8102		 | 		20343
    54827		 | 		20448
    11087		 | 		20548
