

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    2276		 | 		38
    6919		 | 		116
    5506		 | 		205
    9039		 | 		305
    6513		 | 		391
    4704		 | 		461
    1253		 | 		536
    726		 | 		619
    5442		 | 		729
    8707		 | 		819
    2906		 | 		905
    9710		 | 		988
    3112		 | 		1070
    5769		 | 		1174
    9488		 | 		1275
    4222		 | 		1355
    5107		 | 		1434
    8545		 | 		1531
    7192		 | 		1603
    1167		 | 		1686
    9167		 | 		1791
    4145		 | 		1870
    868		 | 		1950
    8679		 | 		2025
    7925		 | 		2106
    1079		 | 		2218
    9620		 | 		2318
    2763		 | 		2400
    4801		 | 		2536
    5989		 | 		2646
    4859		 | 		2782
    7076		 | 		2873
    2907		 | 		2985
    6716		 | 		3071
    2466		 | 		3198
    9420		 | 		3288
    7771		 | 		3417
    3718		 | 		3506
    6497		 | 		3592
    3213		 | 		3733
    2425		 | 		3852
    5754		 | 		3962
    2922		 | 		4047
    1888		 | 		4152
    1523		 | 		4256
    8761		 | 		4349
    2462		 | 		4435
    6629		 | 		4522
    3658		 | 		4627
    9653		 | 		4739
    4147		 | 		4820
    9176		 | 		4905
    3797		 | 		4990
    5015		 | 		5087
    7855		 | 		5166
    8073		 | 		5269
    6093		 | 		5358
    3826		 | 		5458
    836		 | 		5562
    7245		 | 		5662
    9814		 | 		5744
    2046		 | 		5852
    672		 | 		5938
    9073		 | 		6023
    8761		 | 		6123
    3137		 | 		6228
    8492		 | 		6330
    6531		 | 		6435
    3207		 | 		6539
    1340		 | 		6631
    6095		 | 		6705
    1983		 | 		6767
    7093		 | 		6833
    5369		 | 		6932
    222		 | 		7024
    4967		 | 		7105
    481		 | 		7170
    2683		 | 		7233
    1595		 | 		7301
    4138		 | 		7367
    2335		 | 		7430
    2094		 | 		7513
    9666		 | 		7580
    2484		 | 		7643
    7108		 | 		7706
    3872		 | 		7789
    556		 | 		7849
    9552		 | 		7912
    7697		 | 		8051
    7743		 | 		8138
    6796		 | 		8206
    3863		 | 		8290
    9788		 | 		8354
    3819		 | 		8423
    2935		 | 		8489
    4900		 | 		8552
    6955		 | 		8616
    7778		 | 		8678
    7783		 | 		8744
    6513		 | 		8825
    9117		 | 		8889
    3877		 | 		8953
    4847		 | 		9038
    2561		 | 		9123
    5597		 | 		9186
    5069		 | 		9271
    7528		 | 		9331
    6078		 | 		9415
    7751		 | 		9478
    5474		 | 		9543
    6567		 | 		9611
    6438		 | 		9691
    7567		 | 		9751
    6232		 | 		9818
    8921		 | 		9885
    1026		 | 		9951
    103		 | 		10025
    5828		 | 		10094
    577		 | 		10161
    4152		 | 		10227
    3571		 | 		10295
    3724		 | 		10361
    8014		 | 		10444
    9710		 | 		10526
    7542		 | 		10591
    7300		 | 		10683
    4610		 | 		10749
    849		 | 		10828
    5077		 | 		10944
    8744		 | 		11014
    3713		 | 		11082
    545		 | 		11169
    2620		 | 		11251
    8560		 | 		11313
    3105		 | 		11380
    4569		 | 		11469
    3628		 | 		11539
    6984		 | 		11606
    6998		 | 		11674
    7730		 | 		11743
    2458		 | 		11806
    3564		 | 		11868
    519		 | 		11931
    24		 | 		12017
    6148		 | 		12085
    5791		 | 		12170
    7402		 | 		12252
    2602		 | 		12314
    1619		 | 		12385
    7978		 | 		12454
    6753		 | 		12520
    1541		 | 		12586
    8054		 | 		12653
    1118		 | 		12725
    1250		 | 		12792
    5595		 | 		12876
    8417		 | 		12961
    2211		 | 		13026
    2795		 | 		13096
    3493		 | 		13166
    954		 | 		13251
    6508		 | 		13314
    4037		 | 		13379
    9926		 | 		13462
    5067		 | 		13525
    3494		 | 		13592
    846		 | 		13661
    5046		 | 		13732
    477		 | 		13798
    7843		 | 		13864
    2775		 | 		13929
    2934		 | 		14013
    7758		 | 		14075
    9646		 | 		14143
    9310		 | 		14211
    3905		 | 		14279
    5436		 | 		14363
    6711		 | 		14427
    6507		 | 		14522
    3406		 | 		14603
    1040		 | 		14685
    3259		 | 		14769
    4946		 | 		14833
    9093		 | 		14920
    4377		 | 		14982
    2548		 | 		15048
    1040		 | 		15134
