

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    886		 | 		5
    941		 | 		58
    765		 | 		90
    840		 | 		120
    762		 | 		155
    457		 | 		198
    651		 | 		236
    896		 | 		273
    51		 | 		306
    882		 | 		340
    706		 | 		381
    601		 | 		411
    745		 | 		452
    62		 | 		480
    361		 | 		511
    749		 | 		547
    573		 | 		589
    20		 | 		620
    76		 | 		651
    25		 | 		732
    564		 | 		774
    271		 | 		834
    671		 | 		876
    189		 | 		916
    475		 | 		955
    276		 | 		986
    885		 | 		1053
    944		 | 		1087
    578		 | 		1120
    338		 | 		1155
    96		 | 		1188
    816		 | 		1231
    278		 | 		1270
    212		 | 		1301
    655		 | 		1332
    40		 | 		1363
    20		 | 		1394
    658		 | 		1435
    287		 | 		1467
    70		 | 		1500
    539		 | 		1534
    344		 | 		1565
    22		 | 		1596
    635		 | 		1630
    405		 | 		1664
    734		 | 		1696
    736		 | 		1727
    329		 | 		1767
    754		 | 		1798
    163		 | 		1829
    353		 | 		1860
    669		 | 		1901
    433		 | 		1931
    23		 | 		1964
    210		 | 		1996
    908		 | 		2040
    650		 | 		2072
    94		 | 		2104
    203		 | 		2145
    580		 | 		2177
    431		 | 		2209
    650		 | 		2250
    395		 | 		2281
    60		 | 		2322
    861		 | 		2359
    401		 | 		2396
    99		 | 		2441
    232		 | 		2479
    58		 | 		2508
    737		 | 		2570
    301		 | 		2600
    948		 | 		2633
    80		 | 		2668
    674		 | 		2700
    935		 | 		2733
    836		 | 		2764
    407		 | 		2809
    670		 | 		2847
    164		 | 		2878
    512		 | 		2919
    832		 | 		2955
    869		 | 		2997
    533		 | 		3025
    617		 | 		3069
    243		 | 		3098
    742		 | 		3127
    876		 | 		3169
    893		 | 		3221
    835		 | 		3258
    78		 | 		3320
    472		 | 		3361
    617		 | 		3404
    727		 | 		3433
    218		 | 		3465
    676		 | 		3496
    939		 | 		3537
    618		 | 		3574
    127		 | 		3605
    170		 | 		3635
    28		 | 		3668
    863		 | 		3708
    822		 | 		3744
    975		 | 		3783
    295		 | 		3816
    847		 | 		3850
    909		 | 		3882
    130		 | 		3914
    605		 | 		3956
    578		 | 		3995
    646		 | 		4024
    469		 | 		4066
    762		 | 		4106
    514		 | 		4134
    1		 | 		4167
    378		 | 		4199
    756		 | 		4230
    742		 | 		4261
    253		 | 		4304
    1000		 | 		4344
    928		 | 		4377
    682		 | 		4414
    471		 | 		4457
    896		 | 		4498
    760		 | 		4531
    40		 | 		4564
    571		 | 		4609
    50		 | 		4642
    658		 | 		4683
    49		 | 		4712
    571		 | 		4750
    37		 | 		4792
    912		 | 		4823
    392		 | 		4856
    11		 | 		4887
    206		 | 		4922
    590		 | 		4962
    272		 | 		4999
    687		 | 		5033
    546		 | 		5062
    201		 | 		5091
    332		 | 		5124
    14		 | 		5165
    962		 | 		5201
    845		 | 		5230
    14		 | 		5267
    691		 | 		5306
    953		 | 		5342
    107		 | 		5381
    295		 | 		5422
    952		 | 		5450
    386		 | 		5482
    328		 | 		5513
    775		 | 		5547
    281		 | 		5588
    87		 | 		5624
    814		 | 		5726
    204		 | 		5771
    136		 | 		5809
    823		 | 		5840
    252		 | 		5877
    706		 | 		5919
    859		 | 		5948
    515		 | 		5977
    449		 | 		6017
    222		 | 		6052
    72		 | 		6092
    390		 | 		6122
    493		 | 		6154
    759		 | 		6185
    936		 | 		6215
    693		 | 		6245
    442		 | 		6285
    949		 | 		6315
    7		 | 		6353
    639		 | 		6382
    315		 | 		6414
    49		 | 		6452
    591		 | 		6482
    773		 | 		6519
    344		 | 		6558
    894		 | 		6588
    159		 | 		6618
    671		 | 		6657
    668		 | 		6686
    791		 | 		6715
    110		 | 		6752
    482		 | 		6791
    994		 | 		6820
    597		 | 		6851
    656		 | 		6881
    246		 | 		6914
    303		 | 		6945
    515		 | 		6983
    760		 | 		7026
    103		 | 		7059
    736		 | 		7090
    832		 | 		7128
    493		 | 		7161
    580		 | 		7190
    942		 | 		7223
    428		 | 		7256
    272		 | 		7296
    383		 | 		7325
    728		 | 		7363
    630		 | 		7401
    21		 | 		7434
    42		 | 		7471
    679		 | 		7502
    611		 | 		7534
    815		 | 		7571
    374		 | 		7603
    857		 | 		7632
    325		 | 		7764
    44		 | 		7799
    524		 | 		7838
    115		 | 		7874
    505		 | 		7905
    357		 | 		7935
    109		 | 		7974
    102		 | 		8005
    13		 | 		8039
    706		 | 		8076
    756		 | 		8105
    527		 | 		8136
    817		 | 		8168
    858		 | 		8199
    614		 | 		8229
    1000		 | 		8271
    702		 | 		8303
    193		 | 		8335
    941		 | 		8371
    129		 | 		8405
    816		 | 		8443
    324		 | 		8482
    857		 | 		8511
    798		 | 		8543
    696		 | 		8577
    250		 | 		8611
    476		 | 		8642
    659		 | 		8736
    64		 | 		8768
    849		 | 		8831
