Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		91
    95		 | 		280
    9		 | 		352
    57		 | 		415
    66		 | 		481
    44		 | 		571
    8		 | 		634
    38		 | 		709
    26		 | 		771
    35		 | 		842
    3		 | 		904
    14		 | 		966
    46		 | 		1027
    42		 | 		1090
    51		 | 		1151
    25		 | 		1216
    58		 | 		1421
    59		 | 		1489
    62		 | 		1588
    40		 | 		1653
    25		 | 		1716
    55		 | 		1779
    81		 | 		1841
    11		 | 		1903
    74		 | 		1967
    48		 | 		2030
    64		 | 		2092
    97		 | 		2155
    39		 | 		2226
    36		 | 		2289
    60		 | 		2359
    43		 | 		2425
    82		 | 		2487
    68		 | 		2552
    99		 | 		2615
    48		 | 		2683
    63		 | 		2746
    58		 | 		2811
    37		 | 		2875
    89		 | 		2940
    93		 | 		3002
    39		 | 		3067
    54		 | 		3129
    90		 | 		3197
    32		 | 		3259
    5		 | 		3324
    67		 | 		3386
    41		 | 		3451
    15		 | 		3513
    28		 | 		3579
    81		 | 		3641
    91		 | 		3703
    34		 | 		3769
    61		 | 		3833
    54		 | 		3895
    60		 | 		4007
    60		 | 		4101
    17		 | 		4165
    56		 | 		4231
    98		 | 		4295
    4		 | 		4357
    67		 | 		4424
    92		 | 		4488
    86		 | 		4556
    35		 | 		4619
    42		 | 		4683
    33		 | 		4746
    49		 | 		4811
    99		 | 		4874
    69		 | 		4938
    37		 | 		5000
    43		 | 		5064
    59		 | 		5126
    43		 | 		5190
    33		 | 		5252
    90		 | 		5321
    47		 | 		5392
    99		 | 		5455
    30		 | 		5522
    13		 | 		5587
    78		 | 		5655
    62		 | 		5718
    3		 | 		5780
    63		 | 		5843
    74		 | 		5905
    56		 | 		5971
    22		 | 		6035
    33		 | 		6104
    24		 | 		6180
    29		 | 		6246
    82		 | 		6312
    28		 | 		6376
    96		 | 		6445
    73		 | 		6509
    13		 | 		6582
    82		 | 		6645
    14		 | 		6712
    97		 | 		6776
    30		 | 		6842
    65		 | 		6906
Le demoró: 6986 microsegundos en insertar 100valores

