Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    99766		 | 		110
    6027		 | 		293
    84989		 | 		361
    4354		 | 		426
    4175		 | 		488
    40738		 | 		596
    51234		 | 		659
    63691		 | 		750
    81171		 | 		816
    38242		 | 		886
    14544		 | 		953
    54128		 | 		1016
    84221		 | 		1093
    58222		 | 		1158
    40208		 | 		1221
    28094		 | 		1285
    48583		 | 		1349
    88731		 | 		1412
    61316		 | 		1477
    99183		 | 		1574
    45798		 | 		1649
    24600		 | 		1717
    69237		 | 		1781
    99962		 | 		1846
    62766		 | 		1908
    72390		 | 		1972
    63583		 | 		2034
    39117		 | 		2097
    19165		 | 		2159
    7079		 | 		2221
    58964		 | 		2284
    18931		 | 		2347
    29457		 | 		2411
    43952		 | 		2475
    39636		 | 		2537
    49983		 | 		2607
    84689		 | 		2671
    7221		 | 		2738
    13673		 | 		2807
    82211		 | 		2871
    45463		 | 		2937
    28216		 | 		3000
    52690		 | 		3071
    46035		 | 		3135
    86438		 | 		3201
    9250		 | 		3265
    74128		 | 		3330
    51372		 | 		3394
    97980		 | 		3462
    51795		 | 		3525
    50554		 | 		3591
    43777		 | 		3653
    92746		 | 		3720
    19790		 | 		3783
    60090		 | 		3846
    55511		 | 		3908
    92179		 | 		3971
    23672		 | 		4034
    94628		 | 		4097
    11344		 | 		4160
    47103		 | 		4227
    69943		 | 		4291
    46626		 | 		4523
    76559		 | 		4596
    30246		 | 		4663
    86261		 | 		4728
    42894		 | 		4791
    31287		 | 		4859
    93482		 | 		4928
    56566		 | 		4998
    13497		 | 		5072
    55296		 | 		5136
    84782		 | 		5202
    66187		 | 		5268
    17682		 | 		5336
    87571		 | 		5404
    75436		 | 		5472
    91809		 | 		5536
    38942		 | 		5601
    89767		 | 		5664
    59955		 | 		5729
    89495		 | 		5792
    49895		 | 		5857
    52700		 | 		5919
    9285		 | 		5989
    9984		 | 		6055
    8210		 | 		6119
    17815		 | 		6188
    33655		 | 		6252
    19189		 | 		6320
    45510		 | 		6384
    80757		 | 		6453
    89131		 | 		6517
    8487		 | 		6584
    73668		 | 		6646
    35729		 | 		6718
    94748		 | 		6784
    16561		 | 		6848
    67015		 | 		6911
    4581		 | 		6974
    89478		 | 		7040
    80511		 | 		7106
    76228		 | 		7170
    74259		 | 		7236
    63049		 | 		7303
    93909		 | 		7367
    61829		 | 		7433
    54836		 | 		7496
    2069		 | 		7563
    770		 | 		7627
    44602		 | 		7695
    78375		 | 		7762
    6617		 | 		7833
    94496		 | 		7896
    31074		 | 		7966
    32253		 | 		8031
    20831		 | 		8099
    39283		 | 		8166
    66419		 | 		8235
    54486		 | 		8303
    74824		 | 		8369
    11929		 | 		8434
    51594		 | 		8498
    80306		 | 		8601
    20415		 | 		8670
    41613		 | 		8762
    16034		 | 		8832
    31514		 | 		8895
    58173		 | 		8961
    83048		 | 		9024
    52446		 | 		9096
    47651		 | 		9160
    79911		 | 		9226
    45025		 | 		9290
    38261		 | 		9356
    42959		 | 		9423
    55285		 | 		9489
    16442		 | 		9555
    14147		 | 		9624
    73705		 | 		9691
    33563		 | 		9757
    75100		 | 		9823
    52079		 | 		9887
    40179		 | 		9953
    85948		 | 		10017
    99504		 | 		10085
    72431		 | 		10150
    6778		 | 		10217
    55139		 | 		10284
    55202		 | 		10352
    61263		 | 		10422
    29962		 | 		10490
    67130		 | 		10557
    29209		 | 		10630
    10267		 | 		10701
    3896		 | 		10770
    70821		 | 		10838
    26301		 | 		10902
    51762		 | 		10971
    45346		 | 		11036
    9348		 | 		11111
    20559		 | 		11176
    9348		 | 		11243
    5610		 | 		11307
    65584		 | 		11367
    47608		 | 		11429
    48569		 | 		11493
    37220		 | 		11556
    64049		 | 		11619
    79067		 | 		11681
    10925		 | 		11740
    13964		 | 		11802
    54166		 | 		11862
    79355		 | 		11922
    54142		 | 		11985
    40113		 | 		12048
    78859		 | 		12114
    42925		 | 		12178
    46891		 | 		12237
    33997		 | 		12297
    14478		 | 		12360
    24505		 | 		12423
    63958		 | 		12485
    81607		 | 		12547
    53713		 | 		12618
    90576		 | 		12687
    1854		 | 		12748
    24534		 | 		12812
    16876		 | 		12873
    69967		 | 		13046
    69879		 | 		13114
    42576		 | 		13177
    6878		 | 		13238
    79226		 | 		13298
    48185		 | 		13361
    72461		 | 		13421
    43185		 | 		13484
    13105		 | 		13544
    26032		 | 		13609
    23586		 | 		13668
    92171		 | 		13739
    36956		 | 		13807
    37549		 | 		13868
    46337		 | 		13933
    16311		 | 		13994
    8042		 | 		14065
    86449		 | 		14127
    95169		 | 		14190
    67318		 | 		14252
    49691		 | 		14391
    45517		 | 		14479
    81795		 | 		14551
    74196		 | 		14612
    9474		 | 		14676
    79753		 | 		14737
    27908		 | 		14797
    16401		 | 		14862
    97959		 | 		14922
    68793		 | 		14985
    33277		 | 		15045
    84277		 | 		15111
    55023		 | 		15173
    92204		 | 		15235
    91154		 | 		15302
    34248		 | 		15365
    56740		 | 		15430
    79966		 | 		15491
    93785		 | 		15554
    69845		 | 		15615
    5998		 | 		15679
    17370		 | 		15740
    78367		 | 		15805
    42953		 | 		15866
    71270		 | 		15929
    24703		 | 		15993
    75615		 | 		16055
    95663		 | 		16116
    27504		 | 		16178
    87135		 | 		16238
    62981		 | 		16304
    93546		 | 		16364
    49003		 | 		16427
    61127		 | 		16487
    67741		 | 		16546
    58476		 | 		16656
    40880		 | 		16753
    12001		 | 		16818
    74877		 | 		16879
    55190		 | 		16943
    80793		 | 		17004
    24505		 | 		17066
    39466		 | 		17127
    35816		 | 		17189
