Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    1804		 | 		135
    4047		 | 		527
    342		 | 		775
    3074		 | 		999
    8114		 | 		1222
    5910		 | 		1447
    5260		 | 		1824
    5153		 | 		2054
    7557		 | 		2278
    902		 | 		2509
    5731		 | 		2736
    2789		 | 		2956
    9587		 | 		3176
    6331		 | 		3395
    1225		 | 		3620
    8695		 | 		3839
    5027		 | 		4061
    935		 | 		4280
    7258		 | 		4500
    2363		 | 		4760
    2359		 | 		4979
    4137		 | 		5200
    4058		 | 		5422
    290		 | 		5645
    8244		 | 		5887
    6216		 | 		6114
    7718		 | 		6339
    1117		 | 		6559
    4130		 | 		6785
    8587		 | 		7005
    6041		 | 		7226
    5933		 | 		7447
    8985		 | 		7668
    2734		 | 		7903
    5359		 | 		8125
    7098		 | 		8344
    8643		 | 		8567
    6970		 | 		8795
    8602		 | 		9024
    2551		 | 		9249
    4224		 | 		9472
    4333		 | 		9694
    5339		 | 		9922
    3810		 | 		10142
    7015		 | 		10369
    6563		 | 		10591
    2504		 | 		10814
    2041		 | 		11044
    3849		 | 		11272
    6113		 | 		11584
    756		 | 		11831
    2559		 | 		12063
    6601		 | 		12289
    4813		 | 		12510
    2849		 | 		12733
    4844		 | 		12958
    7380		 | 		13187
    6918		 | 		13421
    2312		 | 		13808
    1509		 | 		14151
    5504		 | 		14427
    4704		 | 		14671
    3794		 | 		14909
    4488		 | 		15172
    7437		 | 		15420
    5504		 | 		15672
    7937		 | 		15911
    2431		 | 		16121
    8825		 | 		16188
    6539		 | 		16254
    4981		 | 		16320
    3048		 | 		16385
    7223		 | 		16450
    319		 | 		16515
    3209		 | 		16588
    4237		 | 		16653
    3233		 | 		16719
    2064		 | 		16779
    2629		 | 		16841
    3434		 | 		16903
    4528		 | 		16963
    3384		 | 		17024
    5992		 | 		17084
    1128		 | 		17151
    4549		 | 		17213
    8840		 | 		17274
    2323		 | 		17335
    1928		 | 		17396
    2109		 | 		17459
    986		 | 		17520
    9789		 | 		17583
    7612		 | 		17645
    5689		 | 		17705
    9934		 | 		17766
    8451		 | 		17826
    3125		 | 		17886
    1789		 | 		17947
    6388		 | 		18008
    5555		 | 		18069
    613		 | 		18131
    9278		 | 		18196
    6887		 | 		18258
    13		 | 		18318
    6500		 | 		18379
    3557		 | 		18444
    9573		 | 		18505
    7088		 | 		18565
    6790		 | 		18627
    1637		 | 		18687
    9716		 | 		18747
    223		 | 		18809
    6164		 | 		18870
    3100		 | 		18931
    6214		 | 		18995
    3644		 | 		19055
    4000		 | 		19116
    1406		 | 		19180
    2318		 | 		19240
    5927		 | 		19304
    3514		 | 		19366
