Comienza a insertar valores
Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    17		 | 		115
    555		 | 		494
    320		 | 		564
    3		 | 		629
    901		 | 		694
    89		 | 		757
    397		 | 		819
    594		 | 		881
    744		 | 		943
    18		 | 		1014
    875		 | 		1078
    431		 | 		1141
    553		 | 		1209
    102		 | 		1272
    847		 | 		1335
    106		 | 		1398
    420		 | 		1460
    132		 | 		1522
    351		 | 		1584
    390		 | 		1677
    62		 | 		1742
    22		 | 		1806
    347		 | 		1868
    55		 | 		1931
    454		 | 		2223
    891		 | 		2320
    944		 | 		2385
    86		 | 		2444
    77		 | 		2509
    654		 | 		2573
    467		 | 		2636
    93		 | 		2701
    561		 | 		2764
    138		 | 		2827
    447		 | 		2889
    813		 | 		2951
    226		 | 		3014
    844		 | 		3076
    406		 | 		3138
    322		 | 		3200
    213		 | 		3265
    632		 | 		3331
    752		 | 		3394
    765		 | 		3456
    734		 | 		3518
    950		 | 		3580
    222		 | 		3641
    505		 | 		3707
    82		 | 		3769
    572		 | 		3832
    895		 | 		3894
    495		 | 		3956
    946		 | 		4018
    241		 | 		4080
    902		 | 		4141
    751		 | 		4203
    483		 | 		4265
    845		 | 		4330
    837		 | 		4392
    912		 | 		4455
    850		 | 		4520
    655		 | 		4588
    356		 | 		4651
    410		 | 		4713
    144		 | 		4775
    803		 | 		4838
    574		 | 		4900
    722		 | 		4963
    646		 | 		5025
    332		 | 		5088
    43		 | 		5149
    858		 | 		5212
    963		 | 		5274
    794		 | 		5337
    974		 | 		5399
    696		 | 		5462
    95		 | 		5524
    196		 | 		5586
    201		 | 		5652
    528		 | 		5719
    119		 | 		5781
    447		 | 		5843
    23		 | 		5905
    416		 | 		5968
    39		 | 		6030
    924		 | 		6093
    167		 | 		6155
    521		 | 		6217
    768		 | 		6279
    355		 | 		6341
    784		 | 		6406
    969		 | 		6469
    361		 | 		6531
    140		 | 		6594
    731		 | 		6655
    504		 | 		6718
    942		 | 		6780
    304		 | 		6841
    225		 | 		6903
    587		 | 		6965
    635		 | 		7031
    619		 | 		7094
    444		 | 		7156
    598		 | 		7218
    764		 | 		7281
    417		 | 		7343
    645		 | 		7406
    859		 | 		7467
    964		 | 		7532
    197		 | 		7595
    386		 | 		7658
    83		 | 		7720
    643		 | 		7783
    408		 | 		7849
    498		 | 		7912
    681		 | 		7979
    683		 | 		8044
    16		 | 		8108
    554		 | 		8171
    802		 | 		8233
    370		 | 		8298
    337		 | 		8361
    771		 | 		8424
    730		 | 		8486
    476		 | 		8549
    501		 | 		8615
