

Inicio de búsqueda



Número 		 |		¿Se encontró?		 |		Tiempo que le tomó
    51		 | 		Encontrado		 | 		22
    33		 | 		Encontrado		 | 		112
    22		 | 		Encontrado		 | 		190
    9		 | 		Encontrado		 | 		274
    85		 | 		Encontrado		 | 		352
    85		 | 		Encontrado		 | 		431
    58		 | 		Encontrado		 | 		511
    6		 | 		Encontrado		 | 		589
    43		 | 		Encontrado		 | 		667
    12		 | 		Encontrado		 | 		750
    41		 | 		Encontrado		 | 		827
    91		 | 		Encontrado		 | 		907
    54		 | 		Encontrado		 | 		992
    92		 | 		Encontrado		 | 		1066
    30		 | 		Encontrado		 | 		1151
    80		 | 		Encontrado		 | 		1236
    85		 | 		Encontrado		 | 		1312
    53		 | 		Encontrado		 | 		1391
    12		 | 		Encontrado		 | 		1471
    12		 | 		Encontrado		 | 		1553
    40		 | 		Encontrado		 | 		1635
    97		 | 		Encontrado		 | 		1720
    8		 | 		Encontrado		 | 		1797
    28		 | 		Encontrado		 | 		1883
    70		 | 		Encontrado		 | 		1964
    72		 | 		Encontrado		 | 		2041
    39		 | 		Encontrado		 | 		2124
    45		 | 		Encontrado		 | 		2206
    43		 | 		Encontrado		 | 		2286
    45		 | 		Encontrado		 | 		2366
    55		 | 		Encontrado		 | 		2443
    46		 | 		Encontrado		 | 		2536
    29		 | 		Encontrado		 | 		2614
    76		 | 		Encontrado		 | 		2692
    54		 | 		Encontrado		 | 		2776
    66		 | 		Encontrado		 | 		2863
    13		 | 		Encontrado		 | 		2939
    64		 | 		Encontrado		 | 		3016
    23		 | 		Encontrado		 | 		3096
    7		 | 		Encontrado		 | 		3174
    27		 | 		Encontrado		 | 		3255
    15		 | 		Encontrado		 | 		3336
    97		 | 		Encontrado		 | 		3420
    80		 | 		Encontrado		 | 		3505
    6		 | 		Encontrado		 | 		3680
    79		 | 		Encontrado		 | 		3775
    12		 | 		Encontrado		 | 		3856
    43		 | 		Encontrado		 | 		3935
    31		 | 		Encontrado		 | 		4014
    75		 | 		Encontrado		 | 		4099
    6		 | 		Encontrado		 | 		4182
    23		 | 		Encontrado		 | 		4312
    71		 | 		Encontrado		 | 		4424
    13		 | 		Encontrado		 | 		4505
    50		 | 		Encontrado		 | 		4588
    40		 | 		Encontrado		 | 		4666
    36		 | 		Encontrado		 | 		4746
    40		 | 		Encontrado		 | 		4823
    37		 | 		Encontrado		 | 		4903
    78		 | 		Encontrado		 | 		4993
    37		 | 		Encontrado		 | 		5069
    91		 | 		Encontrado		 | 		5149
    23		 | 		Encontrado		 | 		5229
    65		 | 		Encontrado		 | 		5308
    18		 | 		Encontrado		 | 		5388
    29		 | 		Encontrado		 | 		5466
    82		 | 		Encontrado		 | 		5542
    30		 | 		Encontrado		 | 		5625
    44		 | 		Encontrado		 | 		5706
    5		 | 		Encontrado		 | 		5783
    36		 | 		Encontrado		 | 		5863
    70		 | 		Encontrado		 | 		5941
    19		 | 		Encontrado		 | 		6023
    85		 | 		Encontrado		 | 		6111
    1		 | 		Encontrado		 | 		6195
    25		 | 		Encontrado		 | 		6276
    15		 | 		Encontrado		 | 		6362
    64		 | 		Encontrado		 | 		6439
    19		 | 		Encontrado		 | 		6519
    45		 | 		Encontrado		 | 		6598
    39		 | 		Encontrado		 | 		6676
    24		 | 		Encontrado		 | 		6768
    67		 | 		Encontrado		 | 		6855
    9		 | 		Encontrado		 | 		6931
    88		 | 		Encontrado		 | 		7009
    69		 | 		Encontrado		 | 		7095
    49		 | 		Encontrado		 | 		7173
    23		 | 		Encontrado		 | 		7260
    60		 | 		Encontrado		 | 		7347
    85		 | 		Encontrado		 | 		7423
    52		 | 		Encontrado		 | 		7505
    96		 | 		Encontrado		 | 		7586
    27		 | 		Encontrado		 | 		7664
    75		 | 		Encontrado		 | 		7746
    61		 | 		Encontrado		 | 		7826
    44		 | 		Encontrado		 | 		7909
    55		 | 		Encontrado		 | 		7989
    42		 | 		Encontrado		 | 		8065
    74		 | 		Encontrado		 | 		8146
    98		 | 		Encontrado		 | 		8226
Le demoró: 8304 microsegundos en buscar 100 valores

