Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		4
    95		 | 		11
    9		 | 		15
    57		 | 		18
    66		 | 		21
    44		 | 		25
    8		 | 		28
    38		 | 		31
    26		 | 		35
    35		 | 		38
    3		 | 		43
    14		 | 		46
    46		 | 		49
    42		 | 		53
    51		 | 		56
    25		 | 		59
    58		 | 		62
    59		 | 		67
    62		 | 		70
    40		 | 		74
    25		 | 		77
    55		 | 		80
    81		 | 		84
    11		 | 		87
    74		 | 		91
    48		 | 		95
    64		 | 		98
    97		 | 		102
    39		 | 		107
    36		 | 		110
    60		 | 		114
    43		 | 		117
    82		 | 		120
    68		 | 		124
    99		 | 		128
    48		 | 		134
    63		 | 		138
    58		 | 		141
    37		 | 		145
    89		 | 		149
    93		 | 		152
    39		 | 		157
    54		 | 		160
    90		 | 		164
    32		 | 		168
    5		 | 		171
    67		 | 		175
    41		 | 		178
    15		 | 		184
    28		 | 		187
    81		 | 		190
    91		 | 		194
    34		 | 		198
    61		 | 		203
    54		 | 		206
    60		 | 		209
    60		 | 		212
    17		 | 		216
    56		 | 		220
    98		 | 		224
    4		 | 		228
    67		 | 		231
    92		 | 		235
    86		 | 		239
    35		 | 		243
    42		 | 		246
    33		 | 		250
    49		 | 		256
    99		 | 		260
    69		 | 		264
    37		 | 		267
    43		 | 		270
    59		 | 		274
    43		 | 		278
    33		 | 		283
    90		 | 		286
    47		 | 		290
    99		 | 		293
    30		 | 		297
    13		 | 		301
    78		 | 		305
    62		 | 		309
    3		 | 		312
    63		 | 		315
    74		 | 		319
    56		 | 		323
    22		 | 		327
    33		 | 		330
    24		 | 		334
    29		 | 		338
    82		 | 		342
    28		 | 		345
    96		 | 		349
    73		 | 		353
    13		 | 		356
    82		 | 		359
    14		 | 		362
    97		 | 		365
    30		 | 		368
    65		 | 		372
