Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    5		 | 		39
    95		 | 		435
    9		 | 		882
    57		 | 		1334
    66		 | 		2440
    44		 | 		2880
    8		 | 		3326
    38		 | 		3759
    26		 | 		4195
    35		 | 		4651
    3		 | 		5086
    14		 | 		5538
    46		 | 		5970
    42		 | 		6417
    51		 | 		6846
    25		 | 		7311
    58		 | 		9131
    59		 | 		9582
    62		 | 		10023
    40		 | 		10468
    25		 | 		10897
    55		 | 		11371
    81		 | 		11795
    11		 | 		12233
    74		 | 		12679
    48		 | 		13109
    64		 | 		13554
    97		 | 		13982
    39		 | 		14454
    36		 | 		14868
    60		 | 		15310
    43		 | 		15761
    82		 | 		16190
    68		 | 		16638
    99		 | 		17437
    48		 | 		18802
    63		 | 		19258
    58		 | 		19695
    37		 | 		20126
    89		 | 		20577
    93		 | 		21041
    39		 | 		21513
    54		 | 		21982
    90		 | 		22402
    32		 | 		22833
    5		 | 		23263
    67		 | 		23706
    41		 | 		24136
    15		 | 		24571
    28		 | 		25003
    81		 | 		25435
    91		 | 		25868
    34		 | 		26305
    61		 | 		26755
    54		 | 		27189
    60		 | 		28960
    60		 | 		29638
    17		 | 		30074
    56		 | 		30531
    98		 | 		30972
    4		 | 		31408
    67		 | 		31838
    92		 | 		32273
    86		 | 		32712
    35		 | 		33142
    42		 | 		33585
    33		 | 		34020
    49		 | 		34467
    99		 | 		34903
    69		 | 		35350
    37		 | 		35779
    43		 | 		36216
    59		 | 		36652
    43		 | 		37082
    33		 | 		38638
    90		 | 		39069
    47		 | 		39512
    99		 | 		39941
    30		 | 		40406
    13		 | 		40859
    78		 | 		41292
    62		 | 		41746
    3		 | 		42185
    63		 | 		42628
    74		 | 		43060
    56		 | 		43500
    22		 | 		43932
    33		 | 		44369
    24		 | 		44814
    29		 | 		45246
    82		 | 		45699
    28		 | 		46124
    96		 | 		46573
    73		 | 		47006
    13		 | 		48581
    82		 | 		49054
    14		 | 		49483
    97		 | 		49913
    30		 | 		50347
    65		 | 		50808
