Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    99766		 | 		40
    6027		 | 		391
    84989		 | 		822
    4354		 | 		1252
    4175		 | 		1689
    40738		 | 		2120
    51234		 | 		2557
    63691		 | 		2986
    81171		 | 		3424
    38242		 | 		3858
    14544		 | 		4292
    54128		 | 		4732
    84221		 | 		5165
    58222		 | 		5614
    40208		 | 		6056
    28094		 | 		7762
    48583		 | 		8198
    88731		 | 		8669
    61316		 | 		9101
    99183		 | 		9542
    45798		 | 		9976
    24600		 | 		10417
    69237		 | 		10847
    99962		 | 		11278
    62766		 | 		11731
    72390		 | 		12166
    63583		 | 		12602
    39117		 | 		13033
    19165		 | 		13472
    7079		 | 		13902
    58964		 | 		14341
    18931		 | 		14762
    29457		 | 		15188
    43952		 | 		15638
    39636		 | 		16064
    49983		 | 		17666
    84689		 | 		18127
    7221		 | 		18579
    13673		 | 		19008
    82211		 | 		19449
    45463		 | 		19893
    28216		 | 		20329
    52690		 | 		21036
    46035		 | 		21507
    86438		 | 		21940
    9250		 | 		22384
    74128		 | 		22835
    51372		 | 		23271
    97980		 | 		23730
    51795		 | 		24166
    50554		 | 		24630
    43777		 | 		25104
    92746		 | 		25552
    19790		 | 		25997
    60090		 | 		27570
    55511		 | 		28016
    92179		 | 		28465
    23672		 | 		28906
    94628		 | 		29337
    11344		 | 		29791
    47103		 | 		30221
    69943		 | 		30655
    46626		 | 		31087
    76559		 | 		31535
    30246		 | 		31978
    86261		 | 		32440
    42894		 | 		33007
    31287		 | 		33460
    93482		 | 		33914
    56566		 | 		34400
    13497		 | 		35055
    55296		 | 		35507
    84782		 | 		35947
    66187		 | 		36396
    17682		 | 		37998
    87571		 | 		38426
    75436		 | 		38862
    91809		 | 		39291
    38942		 | 		39746
    89767		 | 		40180
    59955		 | 		40620
    89495		 | 		41054
    49895		 | 		41494
    52700		 | 		41973
    9285		 | 		42408
    9984		 | 		42839
    8210		 | 		43275
    17815		 | 		43725
    33655		 | 		44162
    19189		 | 		44602
    45510		 | 		45034
    80757		 | 		45477
    89131		 | 		45908
    8487		 | 		46342
    73668		 | 		47927
    35729		 | 		48402
    94748		 | 		48861
    16561		 | 		49288
    67015		 | 		49740
    4581		 | 		50176
    89478		 | 		50613
    80511		 | 		51045
    76228		 | 		51486
    74259		 | 		51921
    63049		 | 		52356
    93909		 | 		52796
    61829		 | 		53233
    54836		 | 		53676
    2069		 | 		54116
