Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    7523		 | 		3
    6408		 | 		44
    9593		 | 		83
    6711		 | 		125
    727		 | 		163
    3253		 | 		930
    7223		 | 		988
    1526		 | 		1040
    215		 | 		1090
    3142		 | 		1140
    5534		 | 		1194
    6755		 | 		1259
    9961		 | 		1314
    5070		 | 		1366
    7760		 | 		1418
    8232		 | 		1469
    936		 | 		1521
    7006		 | 		1573
    3190		 | 		1624
    7374		 | 		1678
    4515		 | 		1731
    2769		 | 		1785
    1770		 | 		1838
    5180		 | 		1893
    5327		 | 		1945
    9467		 | 		1996
    2115		 | 		2046
    2520		 | 		2096
    8463		 | 		2146
    6231		 | 		2198
    4155		 | 		2249
    5985		 | 		2299
    8990		 | 		2349
    99		 | 		2401
    9047		 | 		2451
    9716		 | 		2501
    3351		 | 		2552
    2622		 | 		2602
    1241		 | 		2651
    9917		 | 		2701
    5763		 | 		2752
    6775		 | 		2802
    6671		 | 		2851
    2075		 | 		2900
    1844		 | 		2949
    783		 | 		2998
    307		 | 		3048
    2780		 | 		3097
    7788		 | 		3147
    9848		 | 		3201
    6505		 | 		3253
    8655		 | 		3292
    2617		 | 		3330
    8274		 | 		3375
    3834		 | 		3417
    4295		 | 		3456
    4092		 | 		3494
    5948		 | 		3533
    3166		 | 		3571
    2554		 | 		3610
    8530		 | 		3649
    7320		 | 		3688
    4891		 | 		3727
    3871		 | 		3765
    3770		 | 		3804
    3937		 | 		3843
    3586		 | 		3886
    7120		 | 		3924
    6558		 | 		3962
    4827		 | 		4001
    7037		 | 		4039
    8672		 | 		4076
    7953		 | 		4116
    59		 | 		4155
    747		 | 		4197
    6148		 | 		4251
    7193		 | 		4298
    7405		 | 		4336
    5279		 | 		4375
    4981		 | 		4413
    7252		 | 		4451
    1783		 | 		4491
    3635		 | 		4530
    9868		 | 		4568
    57		 | 		4608
    3820		 | 		4646
    515		 | 		4684
    500		 | 		4723
    9768		 | 		4767
    3680		 | 		4806
    3054		 | 		4845
    4649		 | 		4889
    1000		 | 		4928
    7944		 | 		4966
    8520		 | 		5005
    4769		 | 		5044
    8232		 | 		5082
    8457		 | 		5121
    8241		 | 		5160
    4790		 | 		5205
    3283		 | 		5246
    1629		 | 		5292
    3461		 | 		5332
    7587		 | 		5370
    8039		 | 		5411
    559		 | 		5450
    3735		 | 		5490
    5232		 | 		5530
    7963		 | 		5568
    9013		 | 		5606
    6564		 | 		5645
    5215		 | 		5685
    7148		 | 		5724
    6550		 | 		5801
    1434		 | 		5851
    7204		 | 		5896
    369		 | 		5935
    1948		 | 		5973
    4055		 | 		6012
    6488		 | 		6051
    5628		 | 		6090
    7108		 | 		6129
    1137		 | 		6168
    2979		 | 		6217
    1403		 | 		6260
    6008		 | 		6300
    4099		 | 		6339
    9635		 | 		6378
    4464		 | 		6418
    8691		 | 		6456
    776		 | 		6495
    4099		 | 		6532
    319		 | 		6571
    588		 | 		6633
    1685		 | 		6690
    8358		 | 		6735
    1147		 | 		6775
    1771		 | 		6815
    9941		 | 		6855
    5461		 | 		6899
    7136		 | 		6938
    6504		 | 		6977
    7027		 | 		7016
    4283		 | 		7060
    3053		 | 		7104
    8461		 | 		7149
    7838		 | 		7190
    9773		 | 		7244
    6760		 | 		7285
    1892		 | 		7324
    6261		 | 		7364
    8739		 | 		7403
    9000		 | 		7442
    3749		 | 		7482
    1717		 | 		7522
    6754		 | 		7560
    9756		 | 		7599
    2168		 | 		7638
    6388		 | 		7678
    4219		 | 		7718
    858		 | 		7757
    3515		 | 		7797
    8317		 | 		7837
    7529		 | 		7876
    4103		 | 		7916
    6354		 | 		7956
    2238		 | 		7995
    1601		 | 		8035
    8124		 | 		8074
    8530		 | 		8111
    7061		 | 		8150
    5259		 | 		8190
    5033		 | 		8252
    440		 | 		8298
    5893		 | 		8338
    4437		 | 		8379
    8900		 | 		8424
    3730		 | 		8464
    4209		 | 		8504
    5659		 | 		8545
    5622		 | 		8584
    469		 | 		8624
    750		 | 		8663
    973		 | 		8703
