Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    1804		 | 		44
    4047		 | 		120
    342		 | 		168
    3074		 | 		207
    8114		 | 		244
    5910		 | 		283
    5260		 | 		321
    5153		 | 		358
    7557		 | 		396
    902		 | 		433
    5731		 | 		471
    2789		 | 		509
    9587		 | 		549
    6331		 | 		587
    1225		 | 		640
    8695		 | 		683
    5027		 | 		722
    935		 | 		760
    7258		 | 		798
    2363		 | 		836
    2359		 | 		897
    4137		 | 		958
    4058		 | 		997
    290		 | 		1034
    8244		 | 		1072
    6216		 | 		1126
    7718		 | 		1195
    1117		 | 		1240
    4130		 | 		1278
    8587		 | 		1316
    6041		 | 		1354
    5933		 | 		1393
    8985		 | 		1430
    2734		 | 		1474
    5359		 | 		1513
    7098		 | 		1551
    8643		 | 		1589
    6970		 | 		1627
    8602		 | 		1666
    2551		 | 		1704
    4224		 | 		1742
    4333		 | 		1779
    5339		 | 		1818
    3810		 | 		1856
    7015		 | 		1894
    6563		 | 		1932
    2504		 | 		1970
    2041		 | 		2008
    3849		 | 		2046
    6113		 | 		2084
    756		 | 		2140
    2559		 | 		2184
    6601		 | 		2225
    4813		 | 		2265
    2849		 | 		2303
    4844		 | 		2341
    7380		 | 		2379
    6918		 | 		2417
    2312		 | 		2455
    1509		 | 		2493
    5504		 | 		2531
    4704		 | 		2569
    3794		 | 		2607
    4488		 | 		2645
    7437		 | 		2684
    5504		 | 		2721
    7937		 | 		2761
    2431		 | 		2799
    8825		 | 		2837
    6539		 | 		2875
    4981		 | 		2913
    3048		 | 		2951
    7223		 | 		2989
    319		 | 		3027
    3209		 | 		3066
    4237		 | 		3106
    3233		 | 		3177
    2064		 | 		3217
    2629		 | 		3255
    3434		 | 		3294
    4528		 | 		3332
    3384		 | 		3371
    5992		 | 		3409
    1128		 | 		3447
    4549		 | 		3485
    8840		 | 		3524
    2323		 | 		3562
    1928		 | 		3601
    2109		 | 		3641
    986		 | 		3680
    9789		 | 		3718
    7612		 | 		3757
    5689		 | 		3795
    9934		 | 		3834
    8451		 | 		3873
    3125		 | 		3911
    1789		 | 		3951
    6388		 | 		3989
    5555		 | 		4028
    613		 | 		4066
    9278		 | 		4107
    6887		 | 		4167
    13		 | 		4207
