Número 		 |		Tiempo que le tomó
--------------------------------------------------------
    936		 | 		4
    925		 | 		63
    493		 | 		100
    909		 | 		148
    319		 | 		186
    997		 | 		224
    253		 | 		261
    379		 | 		298
    168		 | 		337
    366		 | 		375
    407		 | 		412
    577		 | 		449
    677		 | 		486
    71		 | 		523
    945		 | 		560
    706		 | 		597
    34		 | 		634
    227		 | 		671
    862		 | 		708
    790		 | 		746
    568		 | 		783
    180		 | 		820
    279		 | 		858
    730		 | 		896
    719		 | 		933
    580		 | 		971
    156		 | 		1008
    857		 | 		1046
    930		 | 		1084
    822		 | 		1161
    623		 | 		1240
    218		 | 		1283
    746		 | 		1322
    467		 | 		1381
    126		 | 		1453
    64		 | 		1496
    815		 | 		1534
    731		 | 		1572
    795		 | 		1609
    334		 | 		1647
    448		 | 		1685
    553		 | 		1722
    910		 | 		1760
    124		 | 		1798
    623		 | 		1834
    855		 | 		1873
    830		 | 		1910
    8		 | 		1948
    433		 | 		1986
    43		 | 		2034
    150		 | 		2077
    1000		 | 		2130
    222		 | 		2219
    428		 | 		2261
    729		 | 		2299
    941		 | 		2337
    360		 | 		2404
    884		 | 		2474
    149		 | 		2520
    289		 | 		2570
    57		 | 		2610
    123		 | 		2654
    506		 | 		2694
    155		 | 		2733
    589		 | 		2771
    984		 | 		2809
    218		 | 		2845
    403		 | 		2885
    66		 | 		2923
    364		 | 		2961
    737		 | 		2999
    513		 | 		3037
    268		 | 		3074
    998		 | 		3112
    988		 | 		3170
    243		 | 		3214
    204		 | 		3253
    169		 | 		3292
    250		 | 		3330
    636		 | 		3368
    211		 | 		3406
    751		 | 		3444
    987		 | 		3482
    433		 | 		3519
    179		 | 		3557
    67		 | 		3595
    725		 | 		3634
    538		 | 		3672
    950		 | 		3710
    873		 | 		3749
    178		 | 		3787
    7		 | 		3831
    347		 | 		3870
    36		 | 		3909
    161		 | 		3947
    935		 | 		3985
    371		 | 		4024
    730		 | 		4061
    689		 | 		4099
    436		 | 		4166
    446		 | 		4233
    777		 | 		4277
    300		 | 		4317
    65		 | 		4356
    127		 | 		4395
    639		 | 		4434
    307		 | 		4472
    682		 | 		4510
    808		 | 		4549
    909		 | 		4586
    318		 | 		4624
    18		 | 		4663
    659		 | 		4701
    656		 | 		4741
    802		 | 		4779
    189		 | 		4817
    723		 | 		4855
    526		 | 		4894
    78		 | 		4932
    24		 | 		4971
    750		 | 		5010
    256		 | 		5049
    382		 | 		5087
    96		 | 		5129
    643		 | 		8018
    894		 | 		8060
    382		 | 		8098
    13		 | 		8142
    976		 | 		8190
    423		 | 		8230
    800		 | 		8270
    421		 | 		8310
    551		 | 		8349
    451		 | 		8388
    837		 | 		8427
    677		 | 		8464
    89		 | 		8503
    144		 | 		8542
    359		 | 		8581
    896		 | 		8619
    404		 | 		8658
    28		 | 		8697
    266		 | 		8736
    414		 | 		8775
    35		 | 		8813
    67		 | 		8850
    603		 | 		8889
    757		 | 		8928
    945		 | 		9024
    680		 | 		9080
    781		 | 		9133
    46		 | 		9204
    287		 | 		9273
    514		 | 		9330
    494		 | 		9381
    929		 | 		9431
    408		 | 		9482
    227		 | 		9530
    293		 | 		9579
    383		 | 		9628
    649		 | 		9680
    444		 | 		9730
    155		 | 		9777
    552		 | 		9827
    894		 | 		9875
    991		 | 		9925
    228		 | 		9975
    335		 | 		10028
    486		 | 		10079
    938		 | 		10132
    582		 | 		10218
    889		 | 		10283
    965		 | 		10335
    847		 | 		10401
    303		 | 		10458
    1000		 | 		10511
    266		 | 		10551
    257		 | 		10591
    108		 | 		10632
    562		 | 		10672
    288		 | 		10712
    240		 | 		10752
    959		 | 		10792
    575		 | 		10832
    754		 | 		10873
    804		 | 		10915
    855		 | 		10953
    161		 | 		10990
    31		 | 		11030
    500		 | 		11076
    543		 | 		11116
    31		 | 		11171
    943		 | 		11224
    49		 | 		11266
    582		 | 		11328
    837		 | 		11373
    39		 | 		11415
    810		 | 		11455
    523		 | 		11495
    525		 | 		11536
    747		 | 		11577
    104		 | 		11617
    765		 | 		11657
    64		 | 		11694
    303		 | 		11731
    419		 | 		11771
    415		 | 		11810
    920		 | 		11850
    27		 | 		11891
    522		 | 		11931
    481		 | 		11971
    315		 | 		12016
    762		 | 		12058
    791		 | 		12100
    241		 | 		12155
    515		 | 		12220
    595		 | 		12271
    95		 | 		12311
    27		 | 		12348
    625		 | 		12389
    946		 | 		12430
    921		 | 		12472
    655		 | 		12512
    889		 | 		12549
    969		 | 		12589
    589		 | 		12626
    77		 | 		12665
    7		 | 		12702
    398		 | 		12742
    599		 | 		12782
    883		 | 		12822
    496		 | 		12863
    54		 | 		12903
    1000		 | 		12940
    911		 | 		12980
    356		 | 		13026
    418		 | 		13065
    325		 | 		13105
    275		 | 		13168
    445		 | 		13214
    199		 | 		13254
    107		 | 		13294
    111		 | 		13334
    960		 | 		13374
    898		 | 		13415
    351		 | 		13455
    826		 | 		13495
    492		 | 		13535
    797		 | 		13575
    852		 | 		13616
    468		 | 		13657
    743		 | 		13697
    772		 | 		13737
    474		 | 		13777
    631		 | 		13818
    92		 | 		13858
    62		 | 		13898
    59		 | 		13938
    98		 | 		13979
    811		 | 		14025
    657		 | 		14066
    333		 | 		14106
    659		 | 		14170
    62		 | 		14218
    332		 | 		14259
    569		 | 		14300
    418		 | 		14338
    101		 | 		14379
    246		 | 		14420
    44		 | 		14460
    545		 | 		14500
    444		 | 		14537
    151		 | 		14577
    7		 | 		14614
    755		 | 		14654
    400		 | 		14695
    357		 | 		14735
    580		 | 		14772
    243		 | 		14809
    154		 | 		14849
    783		 | 		14889
    710		 | 		14929
    896		 | 		14966
    554		 | 		15010
    535		 | 		15052
    878		 | 		15093
    997		 | 		15133
    949		 | 		15174
    936		 | 		15211
    94		 | 		15251
    759		 | 		15292
    944		 | 		15332
    778		 | 		15373
    769		 | 		15413
    5		 | 		15453
